"REF_DATE","GEO","DGUID","Population and dwelling counts (13)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Division No. 10","2021A00034610","Population, 2021","","0","units","0","","212.1","12913","","","","0"
"2021","Division No. 11","2021A00034611","Population, 2021","","0","units","0","","213.1","753938","","","","0"
"2021","Division No. 12","2021A00034612","Population, 2021","","0","units","0","","214.1","24863","","","","0"
"2021","Division No. 13","2021A00034613","Population, 2021","","0","units","0","","215.1","51643","","","","0"
"2021","Division No. 14","2021A00034614","Population, 2021","","0","units","0","","216.1","19749","","","","0"
"2021","Division No. 15","2021A00034615","Population, 2021","","0","units","0","","217.1","23304","","","","0"
"2021","Division No. 16","2021A00034616","Population, 2021","","0","units","0","","218.1","9945","","","","0"
"2021","Division No. 17","2021A00034617","Population, 2021","","0","units","0","","219.1","21996","","","","0"
"2021","Division No. 18","2021A00034618","Population, 2021","","0","units","0","","220.1","26636","","","","0"
"2021","Division No. 19","2021A00034619","Population, 2021","","0","units","0","","221.1","15381","","","","0"
"2021","Division No. 20","2021A00034620","Population, 2021","","0","units","0","","222.1","9634","","","","0"
"2021","Division No. 21","2021A00034621","Population, 2021","","0","units","0","","223.1","21871","","","","0"
"2021","Division No. 22","2021A00034622","Population, 2021","","0","units","0","","224.1","42226","","","","0"
"2021","Division No. 23","2021A00034623","Population, 2021","","0","units","0","","225.1","4690","","","","0"
"2021","Division No.  1","2021A00034701","Population, 2021","","0","units","0","","227.1","30351","","","","0"
"2021","Division No.  2","2021A00034702","Population, 2021","","0","units","0","","228.1","22497","","","","0"
"2021","Division No.  3","2021A00034703","Population, 2021","","0","units","0","","229.1","12262","","","","0"
"2021","Division No.  4","2021A00034704","Population, 2021","","0","units","0","","230.1","10872","","","","0"
"2021","Division No.  5","2021A00034705","Population, 2021","","0","units","0","","231.1","31583","","","","0"
"2021","Division No.  6","2021A00034706","Population, 2021","","0","units","0","","232.1","276564","","","","0"
"2021","Division No.  7","2021A00034707","Population, 2021","","0","units","0","","233.1","47413","","","","0"
"2021","Division No.  8","2021A00034708","Population, 2021","","0","units","0","","234.1","30840","","","","0"
"2021","Division No.  9","2021A00034709","Population, 2021","","0","units","0","","235.1","36047","","","","0"
"2021","Division No. 10","2021A00034710","Population, 2021","","0","units","0","","236.1","16483","","","","0"
"2021","Division No. 11","2021A00034711","Population, 2021","","0","units","0","","237.1","326109","","","","0"
"2021","Division No. 12","2021A00034712","Population, 2021","","0","units","0","","238.1","23208","","","","0"
"2021","Division No. 13","2021A00034713","Population, 2021","","0","units","0","","239.1","22047","","","","0"
"2021","Division No. 14","2021A00034714","Population, 2021","","0","units","0","","240.1","35428","","","","0"
"2021","Division No. 15","2021A00034715","Population, 2021","","0","units","0","","241.1","88988","","","","0"
"2021","Division No. 16","2021A00034716","Population, 2021","","0","units","0","","242.1","37993","","","","0"
"2021","Division No. 17","2021A00034717","Population, 2021","","0","units","0","","243.1","47834","","","","0"
"2021","Division No. 18","2021A00034718","Population, 2021","","0","units","0","","244.1","35986","","","","0"
"2021","Division No.  1","2021A00034801","Population, 2021","","0","units","0","","246.1","82513","","","","0"
"2021","Division No.  2","2021A00034802","Population, 2021","","0","units","0","","247.1","178513","","","","0"
"2021","Division No.  3","2021A00034803","Population, 2021","","0","units","0","","248.1","40768","","","","0"
"2021","Division No.  4","2021A00034804","Population, 2021","","0","units","0","","249.1","9220","","","","0"
"2021","Division No.  5","2021A00034805","Population, 2021","","0","units","0","","250.1","55784","","","","0"
"2021","Division No.  6","2021A00034806","Population, 2021","","0","units","0","","251.1","1590639","","","","0"
"2021","Division No.  7","2021A00034807","Population, 2021","","0","units","0","","252.1","40684","","","","0"
"2021","Division No.  8","2021A00034808","Population, 2021","","0","units","0","","253.1","213470","","","","0"
"2021","Division No.  9","2021A00034809","Population, 2021","","0","units","0","","254.1","20569","","","","0"
"2021","Division No. 10","2021A00034810","Population, 2021","","0","units","0","","255.1","95455","","","","0"
"2021","Division No. 11","2021A00034811","Population, 2021","","0","units","0","","256.1","1462041","","","","0"
"2021","Division No. 12","2021A00034812","Population, 2021","","0","units","0","","257.1","67483","","","","0"
"2021","Division No. 13","2021A00034813","Population, 2021","","0","units","0","","258.1","68076","","","","0"
"2021","Division No. 14","2021A00034814","Population, 2021","","0","units","0","","259.1","28617","","","","0"
"2021","Division No. 15","2021A00034815","Population, 2021","","0","units","0","","260.1","37735","","","","0"
"2021","Division No. 16","2021A00034816","Population, 2021","","0","units","0","","261.1","74543","","","","0"
"2021","Division No. 17","2021A00034817","Population, 2021","","0","units","0","","262.1","62132","","","","0"
"2021","Division No. 18","2021A00034818","Population, 2021","","0","units","0","","263.1","13226","","","","0"
"2021","Division No. 19","2021A00034819","Population, 2021","","0","units","0","","264.1","121167","","","","0"
"2021","Alberni-Clayoquot","2021A00035923","Population, 2021","","0","units","0","","266.1","33521","","","","0"
"2021","Bulkley-Nechako","2021A00035951","Population, 2021","","0","units","0","","267.1","37737","","","","0"
"2021","Capital","2021A00035917","Population, 2021","","0","units","0","","268.1","415451","","","","0"
"2021","Cariboo","2021A00035941","Population, 2021","","0","units","0","","269.1","62931","","","","0"
"2021","Central Coast","2021A00035945","Population, 2021","","0","units","0","","270.1","3582","","","","0"
"2021","Central Kootenay","2021A00035903","Population, 2021","","0","units","0","","271.1","62509","","","","0"
"2021","Central Okanagan","2021A00035935","Population, 2021","","0","units","0","","272.1","222162","","","","0"
"2021","Columbia-Shuswap","2021A00035939","Population, 2021","","0","units","0","","273.1","57021","","","","0"
"2021","Comox Valley","2021A00035926","Population, 2021","","0","units","0","","274.1","72445","","","","0"
"2021","Cowichan Valley","2021A00035919","Population, 2021","","0","units","0","","275.1","89013","","","","0"
"2021","East Kootenay","2021A00035901","Population, 2021","","0","units","0","","276.1","65896","","","","0"
"2021","Fraser Valley","2021A00035909","Population, 2021","","0","units","0","","277.1","324005","","","","0"
"2021","Fraser-Fort George","2021A00035953","Population, 2021","","0","units","0","","278.1","96979","","","","0"
"2021","Greater Vancouver","2021A00035915","Population, 2021","","0","units","0","","279.1","2642825","","","","0"
"2021","Kitimat-Stikine","2021A00035949","Population, 2021","","0","units","0","","280.1","37790","","","","0"
"2021","Kootenay Boundary","2021A00035905","Population, 2021","","0","units","0","","281.1","33152","","","","0"
"2021","Mount Waddington","2021A00035943","Population, 2021","","0","units","0","","282.1","10839","","","","0"
"2021","Nanaimo","2021A00035921","Population, 2021","","0","units","0","","283.1","170367","","","","0"
"2021","North Okanagan","2021A00035937","Population, 2021","","0","units","0","","284.1","91610","","","","0"
"2021","Northern Rockies","2021A00035959","Population, 2021","","0","units","0","","285.1","4478","","","","0"
"2021","Okanagan-Similkameen","2021A00035907","Population, 2021","","0","units","0","","286.1","90178","","","","0"
"2021","Peace River","2021A00035955","Population, 2021","","0","units","0","","287.1","61532","","","","0"
"2021","Powell River","2021A00035927","Population, 2021","","0","units","0","","288.1","21496","","","","0"
"2021","Skeena-Queen Charlotte","2021A00035947","Population, 2021","","0","units","0","","289.1","18181","","","","0"
"2021","Squamish-Lillooet","2021A00035931","Population, 2021","","0","units","0","","290.1","50496","","","","0"
"2021","Stikine","2021A00035957","Population, 2021","","0","units","0","","291.1","683","","","","0"
"2021","Strathcona","2021A00035924","Population, 2021","","0","units","0","","292.1","48150","","","","0"
"2021","Sunshine Coast","2021A00035929","Population, 2021","","0","units","0","","293.1","32170","","","","0"
"2021","Thompson-Nicola","2021A00035933","Population, 2021","","0","units","0","","294.1","143680","","","","0"
"2021","Yukon","2021A00036001","Population, 2021","","0","units","0","","296.1","40232","","","","0"
"2021","Region 1","2021A00036101","Population, 2021","","0","units","0","","298.1","6205","","","","0"
"2021","Region 2","2021A00036102","Population, 2021","","0","units","0","","299.1","2259","","","","0"
"2021","Region 3","2021A00036103","Population, 2021","","0","units","0","","300.1","2650","","","","0"
"2021","Region 4","2021A00036104","Population, 2021","","0","units","0","","301.1","2872","","","","0"
"2021","Region 5","2021A00036105","Population, 2021","","0","units","0","","302.1","6279","","","","0"
